Title,Year,Director,Director_Gender,Actor,Actor_Gender
The Fault in Our Stars,2014,Josh Boone,M,Shailene Woodley,F
Burning,2018,Lee Chang-dong,M,Yoo Ah-in,M
Hamilton,2020,Thomas Kail,M,Lin-Manuel Miranda,M
RRR,2022,S. S. Rajamouli,M,Ram Charan,M
The Disaster Artist,2017,James Franco,M,Dave Franco,M
Twisters,2024,Lee Isaac Chung,M,Daisy Edgar-Jones,F
The House That Jack Built,2018,Lars von Trier,M,Matt Dillon,M
The Craft,1996,Andrew Fleming,M,Robin Tunney,F
The Tree of Life,2011,Terrence Malick,M,Brad Pitt,M
The Trial of the Chicago 7,2020,Aaron Sorkin,M,Eddie Redmayne,M
"Synecdoche, New York",2008,Charlie Kaufman,M,Philip Seymour Hoffman,M
Thirteen,2003,Catherine Hardwicke,F,Evan Rachel Wood,F
High School Musical,2006,Kenny Ortega,M,Zac Efron,M
The Twilight Saga: Breaking Dawn – Part 2,2012,Bill Condon,M,Robert Pattinson,M
Sunset Boulevard,1950,Billy Wilder,M,William Holden,M
Glass,2019,M. Night Shyamalan,M,James McAvoy,M
Les Misérables,2012,Tom Hooper,M,Hugh Jackman,M
Murder on the Orient Express,2017,Kenneth Branagh,M,Kenneth Branagh,M
The Place Beyond the Pines,2012,Derek Cianfrance,M,Ryan Gosling,M
Waves,2019,Trey Edward Shults,M,Kelvin Harrison Jr.,M
The Terminal,2004,Steven Spielberg,M,Tom Hanks,M
Captain Fantastic,2016,Matt Ross,M,Viggo Mortensen,M
Shoplifters,2018,Hirokazu Kore-eda,M,Lily Franky,M
Interview with the Vampire,1994,Neil Jordan,M,Tom Cruise,M
The Lion King,2019,Jon Favreau,M,Chiwetel Ejiofor,M
Collateral,2004,Michael Mann,M,Jamie Foxx,M
I Care a Lot,2020,J Blakeson,M,Rosamund Pike,F
Monster,2023,Hirokazu Kore-eda,M,Sakura Ando,F
Unbreakable,2000,M. Night Shyamalan,M,Bruce Willis,M
The King's Speech,2010,Tom Hooper,M,Colin Firth,M
Fear and Loathing in Las Vegas,1998,Terry Gilliam,M,Johnny Depp,M
The Apartment,1960,Billy Wilder,M,Jack Lemmon,M
Gangs of New York,2002,Martin Scorsese,M,Leonardo DiCaprio,M
Mommy,2014,Xavier Dolan,M,Anne Dorval,F
"Love, Rosie",2014,Christian Ditter,M,Lily Collins,F
Rain Man,1988,Barry Levinson,M,Tom Cruise,M
The Elephant Man,1980,David Lynch,M,Anthony Hopkins,M
Pig,2021,Michael Sarnoski,M,Nicolas Cage,M
Whisper of the Heart,1995,Yoshifumi Kondo,M,Yoko Honna,F
Argo,2012,Ben Affleck,M,Ben Affleck,M
Hugo,2011,Martin Scorsese,M,Asa Butterfield,M
First Reformed,2017,Paul Schrader,M,Ethan Hawke,M
Harakiri,1962,Masaki Kobayashi,M,Tatsuya Nakadai,M
8½,1963,Federico Fellini,M,Marcello Mastroianni,M
The Last Duel,2021,Ridley Scott,M,Jodie Comer,F
8 Mile,2002,Curtis Hanson,M,Eminem,M
Adaptation.,2002,Spike Jonze,M,Nicolas Cage,M
Lost Highway,1997,David Lynch,M,Bill Pullman,M
Metropolis,1927,Fritz Lang,M,Gustav Fröhlich,M
The Skin I Live In,2011,Pedro Almodóvar,M,Antonio Banderas,M
Sweeney Todd: The Demon Barber of Fleet Street,2007,Tim Burton,M,Johnny Depp,M
Braveheart,1995,Mel Gibson,M,Mel Gibson,M
Hunt for the Wilderpeople,2016,Taika Waititi,M,Sam Neill,M
American Hustle,2013,David O. Russell,M,Christian Bale,M
Godzilla,2014,Gareth Edwards,M,Aaron Taylor-Johnson,M
Click,2006,Frank Coraci,M,Adam Sandler,M
Y Tu Mamá También,2001,Alfonso Cuarón,M,Diego Luna,M
Signs,2002,M. Night Shyamalan,M,Mel Gibson,M
Tarzan,1999,Kevin Lima,M,Tony Goldwyn,M
Training Day,2001,Antoine Fuqua,M,Denzel Washington,M
